,Subject,Lecture,Ch1,Ch2,Cor,Band
238,DJ02,Desi,F3,PZ,0.005930324341924361,Beta
239,DJ02,Desi,F3,C4,0.004071863949351917,Beta
240,DJ02,Desi,F3,F4,0.027214920103391636,Beta
241,DJ02,Desi,F3,FP2,0.8835526378019458,Beta
242,DJ02,Desi,C3,PZ,0.3483649781627437,Beta
243,DJ02,Desi,C3,C4,0.07715675892864073,Beta
244,DJ02,Desi,C3,F4,0.008596255621601845,Beta
245,DJ02,Desi,C3,FP2,0.2812222401708975,Beta
246,DJ02,Desi,PZ,C4,0.2810401689578096,Beta
247,DJ02,Desi,PZ,F4,0.010979722092540724,Beta
248,DJ02,Desi,PZ,FP2,0.06807398021205523,Beta
249,DJ02,Desi,C4,F4,0.13515222355769294,Beta
250,DJ02,Desi,C4,FP2,0.11891044213367677,Beta
251,DJ02,Desi,F4,FP2,0.09989750730596632,Beta
252,DJ02,Prog,FP1,F3,0.06556996646098733,Theta
253,DJ02,Prog,FP1,C3,0.069589978102259,Theta
254,DJ02,Prog,FP1,PZ,0.9487346085077818,Theta
255,DJ02,Prog,FP1,C4,0.46121194153396444,Theta
256,DJ02,Prog,FP1,F4,0.4628277684757314,Theta
257,DJ02,Prog,FP1,FP2,0.5797632979487708,Theta
258,DJ02,Prog,F3,C3,0.75650794890191,Theta
259,DJ02,Prog,F3,PZ,0.0032571256658974574,Theta
260,DJ02,Prog,F3,C4,0.7777002207695336,Theta
261,DJ02,Prog,F3,F4,0.2922555237786258,Theta
262,DJ02,Prog,F3,FP2,0.19253097365790872,Theta
263,DJ02,Prog,C3,PZ,0.22416846096341125,Theta
264,DJ02,Prog,C3,C4,0.286111510773917,Theta
265,DJ02,Prog,C3,F4,0.7832321919040035,Theta
266,DJ02,Prog,C3,FP2,0.6796072821780796,Theta
267,DJ02,Prog,PZ,C4,0.2458521546763845,Theta
268,DJ02,Prog,PZ,F4,0.686337188576147,Theta
269,DJ02,Prog,PZ,FP2,0.7891744844542232,Theta
270,DJ02,Prog,C4,F4,0.008154981782323517,Theta
271,DJ02,Prog,C4,FP2,0.003669786903505568,Theta
272,DJ02,Prog,F4,FP2,0.9862599164160365,Theta
273,DJ02,Prog,FP1,F3,0.13217461291366656,Alpha
274,DJ02,Prog,FP1,C3,0.03324392509905877,Alpha
275,DJ02,Prog,FP1,PZ,0.9502878527389678,Alpha
276,DJ02,Prog,FP1,C4,0.530393282598366,Alpha
277,DJ02,Prog,FP1,F4,0.4343514322508078,Alpha
278,DJ02,Prog,FP1,FP2,0.5630018046151546,Alpha
279,DJ02,Prog,F3,C3,0.7364700857813069,Alpha
280,DJ02,Prog,F3,PZ,0.034176791497384354,Alpha
281,DJ02,Prog,F3,C4,0.805932134721193,Alpha
282,DJ02,Prog,F3,F4,0.2316847340394887,Alpha
283,DJ02,Prog,F3,FP2,0.13949996730601172,Alpha
284,DJ02,Prog,C3,PZ,0.15580582651487795,Alpha
