Subject,Lecture,Ch1,Ch2,Cor,Band
DJ03,Prog,FP1,F4,0.5558490320228984,Beta
DJ03,Prog,FP1,FP2,0.9385767328619643,Beta
DJ03,Prog,F3,C3,0.2642421903988824,Beta
DJ03,Prog,F3,PZ,0.0530999540543002,Beta
DJ03,Prog,F3,C4,0.12022216756684115,Beta
DJ03,Prog,F3,F4,0.0892855760394073,Beta
DJ03,Prog,F3,FP2,0.5231479392118223,Beta
DJ03,Prog,C3,PZ,0.26556694909714934,Beta
DJ03,Prog,C3,C4,0.26458751953809867,Beta
DJ03,Prog,C3,F4,0.023983512737496798,Beta
DJ03,Prog,C3,FP2,0.29645788013517954,Beta
DJ03,Prog,PZ,C4,0.646943257809422,Beta
DJ03,Prog,PZ,F4,0.0207322229558958,Beta
DJ03,Prog,PZ,FP2,0.33392967279872277,Beta
DJ03,Prog,C4,F4,0.3520307636557982,Beta
DJ03,Prog,C4,FP2,0.626002850815326,Beta
DJ03,Prog,F4,FP2,0.46677780110380496,Beta
DJ03,Robo,FP1,F3,0.7597787731194102,Theta
DJ03,Robo,FP1,C3,0.6017215548528734,Theta
DJ03,Robo,FP1,PZ,0.6771301211664122,Theta
DJ03,Robo,FP1,C4,0.8973905002040421,Theta
DJ03,Robo,FP1,F4,0.7273883266314471,Theta
DJ03,Robo,FP1,FP2,0.9811556053769506,Theta
DJ03,Robo,F3,C3,0.525875948437652,Theta
DJ03,Robo,F3,PZ,0.3595883643783805,Theta
DJ03,Robo,F3,C4,0.5503999100252714,Theta
DJ03,Robo,F3,F4,0.568203594183152,Theta
DJ03,Robo,F3,FP2,0.8488503845959621,Theta
DJ03,Robo,C3,PZ,0.6572221673224359,Theta
DJ03,Robo,C3,C4,0.6637284278505522,Theta
DJ03,Robo,C3,F4,0.25687767444987486,Theta
DJ03,Robo,C3,FP2,0.6320750278565769,Theta
DJ03,Robo,PZ,C4,0.8557036567105889,Theta
DJ03,Robo,PZ,F4,0.2406035902799933,Theta
DJ03,Robo,PZ,FP2,0.6328923751907,Theta
DJ03,Robo,C4,F4,0.5528277721112242,Theta
DJ03,Robo,C4,FP2,0.8474618618869336,Theta
DJ03,Robo,F4,FP2,0.7111048047258182,Theta
DJ03,Robo,FP1,F3,0.5742700312182498,Alpha
DJ03,Robo,FP1,C3,0.40775200564927455,Alpha
DJ03,Robo,FP1,PZ,0.528114210521888,Alpha
DJ03,Robo,FP1,C4,0.8103748854170487,Alpha
DJ03,Robo,FP1,F4,0.5845590711481378,Alpha
DJ03,Robo,FP1,FP2,0.9638152558829685,Alpha
DJ03,Robo,F3,C3,0.35992438955957984,Alpha
DJ03,Robo,F3,PZ,0.14309708505292176,Alpha
DJ03,Robo,F3,C4,0.31018927117656947,Alpha
DJ03,Robo,F3,F4,0.3503072401888908,Alpha
DJ03,Robo,F3,FP2,0.7235781724354324,Alpha
DJ03,Robo,C3,PZ,0.3785505202446591,Alpha
DJ03,Robo,C3,C4,0.4769390133224193,Alpha
DJ03,Robo,C3,F4,0.13292984864973284,Alpha
DJ03,Robo,C3,FP2,0.4498168655118071,Alpha
DJ03,Robo,PZ,C4,0.7412396052540724,Alpha
DJ03,Robo,PZ,F4,0.058949254775036694,Alpha
DJ03,Robo,PZ,FP2,0.4649287990270209,Alpha
DJ03,Robo,C4,F4,0.3643208050001443,Alpha
DJ03,Robo,C4,FP2,0.7284695603110669,Alpha
DJ03,Robo,F4,FP2,0.551663566673437,Alpha
DJ03,Robo,FP1,F3,0.34748019051792006,Beta
DJ03,Robo,FP1,C3,0.2577485706099372,Beta
DJ03,Robo,FP1,PZ,0.40254464691444053,Beta
DJ03,Robo,FP1,C4,0.7476264432608699,Beta
DJ03,Robo,FP1,F4,0.5558490320228984,Beta
DJ03,Robo,FP1,FP2,0.9385767328619643,Beta
DJ03,Robo,F3,C3,0.2642421903988824,Beta
DJ03,Robo,F3,PZ,0.0530999540543002,Beta
DJ03,Robo,F3,C4,0.12022216756684115,Beta
DJ03,Robo,F3,F4,0.0892855760394073,Beta
DJ03,Robo,F3,FP2,0.5231479392118223,Beta
DJ03,Robo,C3,PZ,0.26556694909714934,Beta
DJ03,Robo,C3,C4,0.26458751953809867,Beta
DJ03,Robo,C3,F4,0.023983512737496798,Beta
DJ03,Robo,C3,FP2,0.29645788013517954,Beta
DJ03,Robo,PZ,C4,0.646943257809422,Beta
DJ03,Robo,PZ,F4,0.0207322229558958,Beta
DJ03,Robo,PZ,FP2,0.33392967279872277,Beta
DJ03,Robo,C4,F4,0.3520307636557982,Beta
DJ03,Robo,C4,FP2,0.626002850815326,Beta
DJ03,Robo,F4,FP2,0.46677780110380496,Beta
DT01,Desi,FP1,F3,0.8066094710923275,Theta
DT01,Desi,FP1,C3,0.16685820229698506,Theta
DT01,Desi,FP1,PZ,0.3194762236501933,Theta
DT01,Desi,FP1,C4,0.4513730854487086,Theta
DT01,Desi,FP1,F4,0.8341250619505942,Theta
DT01,Desi,FP1,FP2,0.9322766781091769,Theta
DT01,Desi,F3,C3,0.2441256944435794,Theta
DT01,Desi,F3,PZ,0.1236683669442123,Theta
DT01,Desi,F3,C4,0.46313036826836945,Theta
DT01,Desi,F3,F4,0.711836076773231,Theta
DT01,Desi,F3,FP2,0.6012298524735071,Theta
DT01,Desi,C3,PZ,0.26662499606211576,Theta
DT01,Desi,C3,C4,0.1731488812614656,Theta
DT01,Desi,C3,F4,0.0933296307971754,Theta
DT01,Desi,C3,FP2,0.12999776118745035,Theta
DT01,Desi,PZ,C4,0.2751495978310593,Theta
DT01,Desi,PZ,F4,0.06577188773467195,Theta
DT01,Desi,PZ,FP2,0.3588356441446606,Theta
DT01,Desi,C4,F4,0.306368630630351,Theta
DT01,Desi,C4,FP2,0.507971058382359,Theta
DT01,Desi,F4,FP2,0.8198185004529261,Theta
DT01,Desi,FP1,F3,0.7481503926979106,Alpha
DT01,Desi,FP1,C3,0.10670937446330164,Alpha
DT01,Desi,FP1,PZ,0.2824569378388818,Alpha
DT01,Desi,FP1,C4,0.3104794535644337,Alpha
DT01,Desi,FP1,F4,0.7344393503340101,Alpha
DT01,Desi,FP1,FP2,0.9070144061280218,Alpha
DT01,Desi,F3,C3,0.1708208594967306,Alpha
DT01,Desi,F3,PZ,0.08571383441322894,Alpha
DT01,Desi,F3,C4,0.3754884717021272,Alpha
DT01,Desi,F3,F4,0.6011496574833441,Alpha
DT01,Desi,F3,FP2,0.506976026255623,Alpha
DT01,Desi,C3,PZ,0.2309964786811608,Alpha
DT01,Desi,C3,C4,0.07740587869229645,Alpha
DT01,Desi,C3,F4,0.0395498341002192,Alpha
DT01,Desi,C3,FP2,0.0772774332108959,Alpha
DT01,Desi,PZ,C4,0.17569826409494343,Alpha
DT01,Desi,PZ,F4,0.01459406121357035,Alpha
DT01,Desi,PZ,FP2,0.2901479417347814,Alpha
DT01,Desi,C4,F4,0.18886510614149593,Alpha
DT01,Desi,C4,FP2,0.4036459731887697,Alpha
DT01,Desi,F4,FP2,0.747507174898379,Alpha
DT01,Desi,FP1,F3,0.7632739602830595,Beta
DT01,Desi,FP1,C3,0.07783147079934825,Beta
DT01,Desi,FP1,PZ,0.17177063212675364,Beta
DT01,Desi,FP1,C4,0.2818706859164061,Beta
DT01,Desi,FP1,F4,0.777835006650668,Beta
DT01,Desi,FP1,FP2,0.9120402094066804,Beta
DT01,Desi,F3,C3,0.13269324706991464,Beta
DT01,Desi,F3,PZ,0.06263538077081145,Beta
DT01,Desi,F3,C4,0.3780741123120398,Beta
DT01,Desi,F3,F4,0.5945207667018091,Beta
DT01,Desi,F3,FP2,0.5193219635668974,Beta
DT01,Desi,C3,PZ,0.22144741427942824,Beta
DT01,Desi,C3,C4,0.0943638343632817,Beta
DT01,Desi,C3,F4,0.04479452012338335,Beta
DT01,Desi,C3,FP2,0.06866762227333789,Beta
DT01,Desi,PZ,C4,0.21656762788962153,Beta
DT01,Desi,PZ,F4,0.0174402157304184,Beta
DT01,Desi,PZ,FP2,0.19111012125087284,Beta
DT01,Desi,C4,F4,0.1466976056532152,Beta
