Subject,Lecture,Ch,Band,Power
ES01,Prog,C3,Alpha,4.062584380693177
ES01,Prog,PZ,Alpha,4.192420284741181
ES01,Prog,C4,Alpha,5.070332311658396
ES01,Prog,F4,Alpha,2.571476198574172
ES01,Prog,FP2,Alpha,2.092902149324628
ES01,Prog,FP1,Beta,2.010294996997063
ES01,Prog,F3,Beta,2.316164331701909
ES01,Prog,C3,Beta,2.169314903810785
ES01,Prog,PZ,Beta,2.4487952890273514
ES01,Prog,C4,Beta,2.3805426000517733
ES01,Prog,F4,Beta,2.6520305108668345
ES01,Prog,FP2,Beta,1.8183479579855475
ES01,Robo,FP1,Theta,3.953424195814858
ES01,Robo,F3,Theta,3.592996638479735
ES01,Robo,C3,Theta,4.2760985365132775
ES01,Robo,PZ,Theta,5.329772895318568
ES01,Robo,C4,Theta,5.1527407412920185
ES01,Robo,F4,Theta,3.4739414382654275
ES01,Robo,FP2,Theta,3.724560371185385
ES01,Robo,FP1,Alpha,2.0151709461385687
ES01,Robo,F3,Alpha,1.966520115180137
ES01,Robo,C3,Alpha,4.062584380693177
ES01,Robo,PZ,Alpha,4.192420284741181
ES01,Robo,C4,Alpha,5.070332311658396
ES01,Robo,F4,Alpha,2.571476198574172
ES01,Robo,FP2,Alpha,2.092902149324628
ES01,Robo,FP1,Beta,2.010294996997063
ES01,Robo,F3,Beta,2.316164331701909
ES01,Robo,C3,Beta,2.169314903810785
ES01,Robo,PZ,Beta,2.4487952890273514
ES01,Robo,C4,Beta,2.3805426000517733
ES01,Robo,F4,Beta,2.6520305108668345
ES01,Robo,FP2,Beta,1.8183479579855475
ES02,Desi,FP1,Theta,1.1745531965724634
ES02,Desi,F3,Theta,2.935147569774019
ES02,Desi,C3,Theta,3.474924701427842
ES02,Desi,PZ,Theta,16.31040018279986
ES02,Desi,C4,Theta,4.59121728275044
ES02,Desi,F4,Theta,2.9128862002507203
ES02,Desi,FP2,Theta,1.210543600779774
ES02,Desi,FP1,Alpha,0.9993448815865152
ES02,Desi,F3,Alpha,2.2060828584082866
ES02,Desi,C3,Alpha,2.8354540751525024
ES02,Desi,PZ,Alpha,31.28562664262004
ES02,Desi,C4,Alpha,4.936144144636611
ES02,Desi,F4,Alpha,2.188320045867828
